#city,county,state,lat,lon
Corte Madera,Marin,California,37.922256,-122.513202
Costa Mesa,Orange,California,33.677711,-117.909623
Cotati,Sonoma,California,38.325918,-122.704831
Cottonwood,Shasta,California,40.369072,-122.337463
Coulterville,Mariposa,California,37.738642,-119.985813
Courtland,Sacramento,California,38.305756,-121.554297
Covelo,Mendocino,California,39.801864,-123.215015
Covina,Los Angeles,California,34.097162,-117.906544
Coyote,Santa Clara,California,37.216721,-121.746021
Crescent City,Del Norte,California,41.785402,-124.178448
Crescent Mills,Plumas,California,40.081915,-120.881993
Cressey,Merced,California,37.419722,-120.666389
Crest Park,San Bernardino,California,34.233889,-117.195556
Crestline,San Bernardino,California,34.241944,-117.284722
Creston,San Luis Obispo,California,35.491543,-120.554238
Crockett,Contra Costa,California,38.051865,-122.217659
Crows Landing,Stanislaus,California,37.438956,-121.019893
Culver City,Los Angeles,California,33.994927,-118.399115
Cupertino,Santa Clara,California,37.317363,-122.038604
Cutler,Tulare,California,36.524266,-119.287023
Cutten,Humboldt,California,40.77,-124.141667
Cypress,Orange,California,33.818613,-118.038696
Daggett,San Bernardino,California,34.86677,-116.887555
Daly City,San Mateo,California,37.7074,-122.4587
Dana Point,Orange,California,33.476964,-117.700483
Danville,Contra Costa,California,37.820833,-121.906667
Dardanelle,Tuolumne,California,38.341111,-119.832778
Darwin,Inyo,California,36.268056,-117.590833
Davenport,Santa Cruz,California,37.06306,-122.225735
Davis,Yolo,California,38.554817,-121.748495
Davis Creek,Modoc,California,41.862555,-120.323549
Death Valley,Inyo,California,36.467165,-116.893682
Deer Park,Napa,California,38.575833,-122.448889
Del Mar,San Diego,California,32.971474,-117.237314
Del Rey,Fresno,California,36.654306,-119.59291
Delano,Kern,California,35.771511,-119.24594
Delhi,Merced,California,37.428629,-120.775489
Denair,Stanislaus,California,37.538419,-120.796474
